Date,Open,High,Low,Close,Adj Close,Volume
2023-03-31,0.351950,0.357193,0.340296,0.345234,0.345234,358627103
2023-04-01,0.345268,0.375859,0.343813,0.367079,0.367079,586748208
2023-04-02,0.367040,0.369204,0.352200,0.354625,0.354625,326945887
2023-04-03,0.361809,0.361809,0.347843,0.353379,0.353379,277732368
2023-04-04,0.353362,0.371927,0.345033,0.354953,0.354953,566009546
2023-04-05,0.354964,0.366222,0.353744,0.355629,0.355629,352603034
2023-04-06,0.355635,0.364426,0.353783,0.359862,0.359862,278138101
2023-04-07,0.359873,0.359957,0.346335,0.350931,0.350931,249038526
2023-04-08,0.350923,0.352799,0.345692,0.348885,0.348885,174242549
2023-04-09,0.348869,0.354892,0.346561,0.350753,0.350753,184485156
2023-04-10,0.350780,0.360062,0.350429,0.357088,0.357088,182091962
2023-04-11,0.357095,0.365774,0.353608,0.365223,0.365223,238980026
2023-04-12,0.365275,0.377799,0.364434,0.367756,0.367756,407951782
2023-04-13,0.367784,0.372233,0.357432,0.369690,0.369690,338634137
2023-04-14,0.368150,0.387612,0.365356,0.385235,0.385235,468045106
2023-04-15,0.385221,0.401677,0.384736,0.394767,0.394767,650458967
2023-04-16,0.394775,0.414828,0.389794,0.408269,0.408269,529780019
2023-04-17,0.408256,0.411858,0.400164,0.411264,0.411264,344482494
2023-04-18,0.411267,0.411267,0.396360,0.397419,0.397419,428071386
2023-04-19,0.397445,0.409813,0.393205,0.404325,0.404325,314087603
2023-04-20,0.404301,0.404301,0.376328,0.379656,0.379656,522293843
2023-04-21,0.379660,0.384740,0.362607,0.365363,0.365363,406915566
2023-04-22,0.365358,0.370618,0.342825,0.345099,0.345099,381613006
2023-04-23,0.345110,0.359145,0.343999,0.357007,0.357007,237290211
2023-04-24,0.356976,0.356976,0.344229,0.353899,0.353899,217138141
2023-04-25,0.353897,0.360783,0.345508,0.347201,0.347201,255671447
2023-04-26,0.347199,0.359732,0.342890,0.359736,0.359736,261337643
2023-04-27,0.359709,0.376206,0.346578,0.363502,0.363502,442615240
2023-04-28,0.363507,0.379036,0.363480,0.371519,0.371519,360817596
2023-04-29,0.371531,0.372241,0.362947,0.363913,0.363913,208223983
2023-04-30,0.363899,0.366200,0.361208,0.361971,0.361971,140425808
2023-05-01,0.361967,0.372575,0.359117,0.360872,0.360872,206160919
2023-05-02,0.360806,0.361282,0.347928,0.352689,0.352689,248954372
2023-05-03,0.352684,0.358572,0.349439,0.355805,0.355805,179400494
2023-05-04,0.355801,0.357908,0.343760,0.355904,0.355904,237052553
2023-05-05,0.355923,0.357321,0.350364,0.351489,0.351489,157306323
2023-05-06,0.351494,0.359767,0.349895,0.352062,0.352062,190168679
2023-05-07,0.352066,0.353878,0.335913,0.339070,0.339070,202050336
2023-05-08,0.339042,0.342073,0.341754,0.342071,0.342071,142110717
2023-05-09,0.342061,0.344448,0.325739,0.332667,0.332667,297223780
2023-05-10,0.332637,0.336085,0.329561,0.331798,0.331798,179442615
2023-05-11,0.331782,0.339651,0.324927,0.336839,0.336839,309189376
2023-05-12,0.336857,0.336857,0.321770,0.329942,0.329942,222716576
2023-05-13,0.329907,0.338718,0.325841,0.338640,0.338640,239649988
2023-05-14,0.338651,0.338804,0.332169,0.333742,0.333742,120232939
2023-05-15,0.333739,0.340840,0.332741,0.341617,0.341617,113252434
2023-05-16,0.341642,0.345686,0.337959,0.337961,0.337961,162438179
2023-05-17,0.337935,0.339661,0.333660,0.338523,0.338523,155373667
2023-05-18,0.338532,0.350047,0.336068,0.346399,0.346399,205506113
2023-05-19,0.346413,0.351214,0.341057,0.345313,0.345313,188629742
